"ACCOUNT","ACCR_CATEG","QUESTION_LABEL","RESPONSE_2015","RESPONSE_2014","RESPONSE_2013","AVG_2015","AVG_2014","AVG_2013"
"Georgia","Depository Information","Industrial Loan Corporations: Total Assets","0","0","0",0,0,0
"Georgia","Depository Information","Non-depository Trust Companies: Number Supervised","1","1","1",7.41,7.22,7.2
"Georgia","Depository Information","Non-depository Trust Companies: Total Assets","171805019000","144531972355","122000000000",33944527933,50384474720,671011628226
"Georgia","Depository Information","Savings Banks/Savings and Loans: Number Supervised","0","1","1",9.13,9.16,9.38
"Georgia","Depository Information","Total Assets (if supervised): Savings Banks","0","1701294000","1376686000",7960427954,7407111029,7158869878
"Georgia","Application Information","Conversions from Federal Thrift to State Depository Institutions(Approved)","0","0","0",0.13,0.26,0
"Georgia","Application Information","Conversions from Federal Thrift to State Thrift -- Approved","0","0","0",0.05,0.14,0.12
"Georgia","Application Information","Conversions from National Bank to State Depository Institutions -- Approved","0","0","0",0.44,0.6,0.61
"Georgia","Application Information","De Novo Bank Affiliated Trust Companies -- Approved","0","0","0",0.04,0.02,0.04
"Georgia","Application Information","De Novo Independent Trust Companies -- Approved","0","0","0",0.54,0.23,0.27
"Georgia","Application Information","De Novo State Bank Charters -- Approved","0","0","0",0.04,0,0.02
"Georgia","Application Information","State Depository Institution Conversions to Federal Thrift Charters -- Approved","0","0","0",0,0,0
"Georgia","Application Information","State Depository Institution Conversions to National Bank Charters -- Approved","0","0","0",0.04,0,0.04
"Georgia","Examination Information","Bank Exams: Number of Concurrent Examinations","0","0","0",0.51,0.51,1.04
"Georgia","Examination Information","Bank Exams: Number of Joint Examinations with Federal Lead","22","26","44",8.74,9.53,12.39
"Georgia","Examination Information","Bank Exams: Number of Joint Examinations with State Lead","26","23","40",9.63,8.54,10.18
"Georgia","Examination Information","Bank Exams: Number of State Only Independent Examinations","35","36","28",24,25.16,25.84
"Georgia","Examination Information","Holding Company Enforcement Actions (End of the Year)","0","0","0",0.09,0.07,0.13
"Georgia","Examination Information","Holding Company Enforcement Actions (Start of the Year)","0","0","0",0.13,0.11,0.14
"Georgia","Examination Information","Holding Company Enforcement Actions Joint with Federal Agency (End of the Year)","36","50","68",1.38,2.04,2.88
"Georgia","Examination Information","Holding Company Enforcement Actions Joint with Federal Agency (Start of the Year)","50","68","91",1.95,2.86,3.79
"Georgia","Examination Information","Insured Depositories Enforcement Actions (End of the Year)","0","0","0",1.2,1.14,1.73
"Georgia","Examination Information","Insured Depositories Enforcement Actions (Start of the Year)","0","0","0",1.43,1.84,2.21
"Georgia","Examination Information","Insured Depositories Enforcement Actions Joint with Federal Agency (End of the Year)","55","77","89",9.5,13.43,16.5
"Georgia","Examination Information","Insured Depositories Enforcement Actions Joint with Federal Agency (Start of the Year)","77","89","115",12.75,16.95,22.5
"Georgia","Examination Information","Number of 4 and 5 rated banks (End of Year)","25","38","44",2.3,4.05,5.66
"Georgia","Examination Information","Number of 4 and 5 rated banks (Start of Year)","38","44","58",4.09,6.14,8.27
"Georgia","Examination Information","Number of failed institutions","2","1","3",0.13,0.14,0.3
"Georgia","Examination Information","Total Number of Examinations -- Total","83","85","112",42.46,43.3,48.98
"Georgia","Examination Information","Were examination frequency requirements met?","Yes","Yes","Yes",0.92,0.92,0.93
"Georgia","Report Turnaround Information","Turnaround time (days): Independent Examinations","42","36","36",31.42,29.88,29.88
"Georgia","Report Turnaround Information","Turnaround time (days): Joint Examinations with FDIC Lead","0","0","0",19.27,27.1,27.1
"Georgia","Report Turnaround Information","Turnaround time (days): Joint Examinations with Federal Reserve Lead","78","51","51",39.98,38.04,38.04
"Georgia","Report Turnaround Information","Turnaround time (days): Joint Examinations with State Lead","73","69","69",35.7,44.02,44.02
"Georgia","Specialty Exams Information","BSA Exams: Number of Concurrent Examinations with the Federal Reserve","0","0","0",0.7,0.75,1.7
"Georgia","Specialty Exams Information","BSA Exams: Number of Independent Examinations","35","36","28",23.55,27.66,25.89
"Georgia","Specialty Exams Information","BSA Exams: Number of Joint Examinations with the Federal Reserve","48","47","84",17,17.79,19.57
"Georgia","Specialty Exams Information","BSA Exams: Total Number of Examinations","83","83","112",40.53,45.39,46.33
"Georgia","Specialty Exams Information","Bank Holding Companies: Number of Concurrent Examinations with the Federal Reserve","0","0","0",0,0.14,0.46
"Georgia","Specialty Exams Information","Bank Holding Companies: Number of Independent Examinations","41","38","43",9.96,10.77,12.46
"Georgia","Specialty Exams Information","Bank Holding Companies: Number of Joint Examinations with the Federal Reserve","2","2","2",1.59,1.7,3.2
"Georgia","Specialty Exams Information","Bank Holding Companies: Total Number of Examinations","43","40","45",11.35,12.39,15.84
"Georgia","Specialty Exams Information","Compliance Exams: Total Number of Examinations","0","0","0",43.58,42.79,47.21
"Georgia","Specialty Exams Information","Does your department participate in FFIEC examinations of TSPs?","Yes","Yes","Yes",0.36,0.42,0.38
"Georgia","Specialty Exams Information","Has your department implemented the CSBS/FS-ISAC/US Secret Service Corporate Account Takeover (CATO) Best Practices?","Yes","Yes","Yes",0.56,0.58,0.48
"Georgia","Specialty Exams Information","Non-depository Trust: Total Number of Examinations","1","1","1",4.75,4.75,4.2
"Georgia","Specialty Exams Information","Number of Concurrent IT Examinations -- Total","0","0","0",0.61,1.37,2.35
"Georgia","Specialty Exams Information","Number of Joint IT Examinations -- Total","48","47","84",11.91,10.16,11.68
"Georgia","Specialty Exams Information","Number of State Only Independent IT Examinations","35","36","0",18.32,18.77,0
"Georgia","Specialty Exams Information","Number of State Only Independent IT Examinations -- Total","0","0","28",0,0,18.05
"Georgia","Specialty Exams Information","Report Average Turnaround Time in Days","90","90","90",27.63,27.63,24.64
"Georgia","Specialty Exams Information","Total Number of IT Examinations -- Total","83","83","112",30.53,29.96,31.77
"Georgia","Workforce Information","FTE Actually Allocated: BSA Examiners","0","0","0",1.59,0,0
"Georgia","Workforce Information","FTE Actually Allocated: Compliance Examiners","0","0","0",1.69,0,0
"Georgia","Workforce Information","FTE Actually Allocated: Holding Company Examiners","0","0","0",0.02,0,0
"Georgia","Workforce Information","FTE Actually Allocated: IS Examiners","0","0","0",1.41,0,0
"Georgia","Workforce Information","FTE Actually Allocated: Other Examiners","0","0","0",4.33,0,0
"Georgia","Workforce Information","FTE Actually Allocated: Safety and Soundness Examiners","53","0","0",33.94,0,0
"Georgia","Workforce Information","FTE Actually Allocated: Trust Examiners","0","0","0",1.55,0,0
"Georgia","Workforce Information","Other Cross-Trained: BSA Examiners","6","0","0",14.73,0,0
"Georgia","Workforce Information","Other Cross-Trained: Compliance Examiners","0","0","0",1.1,0,0
"Georgia","Workforce Information","Other Cross-Trained: Holding Company Examiners","21","0","0",5.71,0,0
"Georgia","Workforce Information","Other Cross-Trained: IS Examiners","10","0","0",4.1,0,0
"Georgia","Workforce Information","Other Cross-Trained: Other Examiners","0","0","0",1.57,0,0
"Georgia","Workforce Information","Other Cross-Trained: Safety and Soundness Examiners","0","0","0",3.53,0,0
"Georgia","Workforce Information","Other Cross-Trained: Trust Examiners","4","0","0",3.37,0,0
"Georgia","Turnover Information","Examiner Turnover %","22.4","25.5","15.5",14.02,11.63,11.62
"Georgia","Turnover Information","Reason: Death","0","0","0",0.04,0.04,0.11
"Georgia","Turnover Information","Reason: Other","0","2","2",0.12,0.27,0.34
"Georgia","Turnover Information","Reason: Promotion to Office","1","0","0",0.17,0.16,0.05
"Georgia","Turnover Information","Reason: Resignation to work in a financial institution (bank, holding company, trust company, etc.)","3","1","1",0.94,0.84,0.89
"Georgia","Turnover Information","Reason: Resignation to work in private sector other than a financial institution","4","3","1",0.6,0.33,0.4
"Georgia","Turnover Information","Reason: Resignation to work with Federal Agency","0","0","4",0.42,0.47,0.65
"Georgia","Turnover Information","Reason: Resignation with no reason given","3","2","0",0.75,0.69,0.42
"Georgia","Turnover Information","Reason: Retirement","1","5","1",1.17,1.45,0.89
"Georgia","Turnover Information","Reason: Termination","1","0","0",0.29,0.33,0.35
"Georgia","Turnover Information","Reason: Transfer to work with other State Agency","0","1","0",0.29,0.16,0.2
"Georgia","Turnover Information","Total Number of Examiners","53","58","63",41.75,49.16,40.96
"Georgia","Years of Service","Number of Examiners: Experience 2 to 5 Yrs","15","16","14",8.67,10.27,6.16
"Georgia","Years of Service","Number of Examiners: Experience <2 Yrs","17","19","18",8.02,10.05,7.05
"Georgia","Years of Service","Number of Examiners: Experience > 25 Yrs","1","2","8",5.4,5.71,5.25
"Georgia","Years of Service","Number of Examiners: Experience >15 to 25 Yrs","10","9","8",6.77,7.64,7.96
"Georgia","Years of Service","Number of Examiners: Experience >5 to 15 Yrs","10","12","15",13.88,15.27,15.39
"Georgia","Years of Service","Total Number of Examiners","53","58","63",41.75,49.16,40.96
"Guam","General Agency Information","Credit Card Banks -- Authority to Supervise","Yes","Yes","Yes",0.48,0.48,0.48
"Guam","General Agency Information","Credit Card Banks: Number Superviseded","0","0","0",0.16,0,0.16
"Guam","General Agency Information","Credit Unions -- Authority to Supervise","Yes","Yes","Yes",0.67,0.67,0.67
"Guam","General Agency Information","Credit Unions: Number Superviseded","0","0","0",42.52,0,45.95
"Guam","General Agency Information","Does your department currently have a fee sharing agreement with another state?","No","No","No",0.64,0.64,0.55
"Guam","General Agency Information","Does your department have a dedicated fund (e.g., a separate and distinct account from the state general fund?)","0","0","0",0,0,0
"Guam","General Agency Information","Industrial Loan Corporations -- Number Supervised","0","0","0",3.68,0,4.11
"Guam","General Agency Information","Industrial Loan Corporations -- NumberSupervised","0","0","0",0,3.89,0
"Guam","General Agency Information","Is any part of your examination staff unionized?","No","No","No",0.63,0.63,0.63
"Guam","General Agency Information","Is your department independent, or part of a larger agency?","Part of a Larger Agency","Part of a Larger Agency","Part of a Larger Agency",0.6,0.6,0.59
"Guam","General Agency Information","Multi-Bank Holding Companies -- Authority to Supervise","No","No","No",0.43,0.43,0.41
"Guam","General Agency Information","One Bank Holding Companies -- Authority to Supervise","Yes","Yes","Yes",0.64,0.64,0.64
"Guam","Budget Information","Actual Expenditures","0","0","0",11851967,11071164,9704831
"Guam","Budget Information","Amount Allocated to Commercial Bank Supervision","0","0","0",4837836,5336813,4979506
"Guam","Budget Information","Amount Returned to General Fund","0","0","0",83398256,10574719,10546900
"Guam","Budget Information","Budgeted Training Expense","0","0","0",159087,165044,154024
"Guam","Budget Information","Dedicated Fund","No","No","0",0.26,0.3,0
"Guam","Budget Information","Does your department charge an hourly bank examination fee?","Yes","Yes","Yes",0.41,0.44,0.46
"Guam","Budget Information","Hourly Fee","40","40","40",63,62,30
"Guam","Budget Information","If yes, does this include specialty examinations (e.g., Trust, IT, etc.)? -- Hourly Fee","0","0","0",55,55,49
"Guam","Budget Information","Total Budget Approved","515856","515856","515856",12759425,13042590,12791104
"Guam","Sources of Funding","Insurance","0.0","0.0","0.0",0.76,0.82,0.82
"Guam","Sources of Funding","Insured Depositories Below $10 Billion","0.0","0.0","0.0",39.68,42.14,40.92
"Guam","Sources of Funding","Insured Depositories Over $10 Billion","100.0","0.0","0.0",9.76,9.07,10.81
"Guam","Sources of Funding","Securities","0.0","0.0","0.0",7.46,8.41,7.04
"Guam","Sources of Funding","State-Licensed Mortgage Providers","0.0","0.0","0.0",11.51,11.89,11.4
"Guam","Depository Information","Commercial Banks: Number Supervised","5","5","5",80.3,83.54,86.09
"Guam","Depository Information","Commercial Banks: Total Assets","0","0","0",78498824339,68136896978,68383944036
"Guam","Depository Information","Industrial Loan Corporations: Total Assets","0","0","0",8949669664,8562281943,8645170722
"Guam","Depository Information","Non-depository Trust Companies: Number Supervised","2","2","2",7.41,7.22,7.2
"Guam","Depository Information","Non-depository Trust Companies: Total Assets","0","0","0",33944527933,50384474720,671011628226
"Guam","Depository Information","Savings Banks/Savings and Loans: Number Supervised","1","1","1",9.13,9.16,9.38
"Guam","Depository Information","Total Assets (if supervised): Savings Banks","0","0","0",7960427954,7407111029,7158869878
"Guam","Application Information","Conversions from Federal Thrift to State Depository Institutions(Approved)","0","0","0",0.13,0.26,0
"Guam","Application Information","Conversions from Federal Thrift to State Thrift -- Approved","0","0","0",0.05,0.14,0.12
"Guam","Application Information","Conversions from National Bank to State Depository Institutions -- Approved","0","0","0",0.44,0.6,0.61
"Guam","Application Information","De Novo Bank Affiliated Trust Companies -- Approved","0","0","0",0.04,0.02,0.04
"Guam","Application Information","De Novo Independent Trust Companies -- Approved","0","0","0",0.54,0.23,0.27
"Guam","Application Information","De Novo State Bank Charters -- Approved","0","0","0",0.04,0,0.02
"Guam","Application Information","State Depository Institution Conversions to Federal Thrift Charters -- Approved","0","0","0",0,0,0
"Guam","Application Information","State Depository Institution Conversions to National Bank Charters -- Approved","0","0","0",0.04,0,0.04
"Guam","Examination Information","Bank Exams: Number of Concurrent Examinations","0","0","0",0.51,0.51,1.04
"Guam","Examination Information","Bank Exams: Number of Joint Examinations with Federal Lead","0","0","0",8.74,9.53,12.39
"Guam","Examination Information","Bank Exams: Number of Joint Examinations with State Lead","0","0","0",9.63,8.54,10.18
"Guam","Examination Information","Bank Exams: Number of State Only Independent Examinations","0","0","0",24,25.16,25.84
"Guam","Examination Information","Holding Company Enforcement Actions (End of the Year)","0","0","0",0.09,0.07,0.13
"Guam","Examination Information","Holding Company Enforcement Actions (Start of the Year)","0","0","0",0.13,0.11,0.14
"Guam","Examination Information","Holding Company Enforcement Actions Joint with Federal Agency (End of the Year)","0","0","0",1.38,2.04,2.88
"Guam","Examination Information","Holding Company Enforcement Actions Joint with Federal Agency (Start of the Year)","0","0","0",1.95,2.86,3.79
"Guam","Examination Information","Insured Depositories Enforcement Actions (End of the Year)","0","0","0",1.2,1.14,1.73
"Guam","Examination Information","Insured Depositories Enforcement Actions (Start of the Year)","0","0","0",1.43,1.84,2.21
"Guam","Examination Information","Insured Depositories Enforcement Actions Joint with Federal Agency (End of the Year)","0","0","0",9.5,13.43,16.5
"Guam","Examination Information","Insured Depositories Enforcement Actions Joint with Federal Agency (Start of the Year)","0","0","0",12.75,16.95,22.5
"Guam","Examination Information","Number of 4 and 5 rated banks (End of Year)","0","0","0",2.3,4.05,5.66
"Guam","Examination Information","Number of 4 and 5 rated banks (Start of Year)","0","0","0",4.09,6.14,8.27
"Guam","Examination Information","Number of failed institutions","0","0","0",0.13,0.14,0.3
"Guam","Examination Information","Total Number of Examinations -- Total","0","0","0",42.46,43.3,48.98
"Guam","Examination Information","Were examination frequency requirements met?","0","0","0",0,0,0
"Guam","Report Turnaround Information","Turnaround time (days): Independent Examinations","0","0","0",31.42,29.88,0
"Guam","Report Turnaround Information","Turnaround time (days): Joint Examinations with FDIC Lead","0","0","0",19.27,27.1,0
"Guam","Report Turnaround Information","Turnaround time (days): Joint Examinations with Federal Reserve Lead","0","0","0",39.98,38.04,0
"Guam","Report Turnaround Information","Turnaround time (days): Joint Examinations with State Lead","0","0","0",35.7,44.02,0
"Guam","Specialty Exams Information","BSA Exams: Number of Concurrent Examinations with the Federal Reserve","0","0","0",0.7,0.75,1.7
"Guam","Specialty Exams Information","BSA Exams: Number of Independent Examinations","0","0","0",23.55,27.66,25.89
"Guam","Specialty Exams Information","BSA Exams: Number of Joint Examinations with the Federal Reserve","0","0","0",17,17.79,19.57
"Guam","Specialty Exams Information","BSA Exams: Total Number of Examinations","0","0","0",40.53,45.39,46.33
"Guam","Specialty Exams Information","Bank Holding Companies: Number of Concurrent Examinations with the Federal Reserve","0","0","0",0,0.14,0.46
"Guam","Specialty Exams Information","Bank Holding Companies: Number of Independent Examinations","0","0","0",9.96,10.77,12.46
"Guam","Specialty Exams Information","Bank Holding Companies: Number of Joint Examinations with the Federal Reserve","0","0","0",1.59,1.7,3.2
"Guam","Specialty Exams Information","Bank Holding Companies: Total Number of Examinations","0","0","0",11.35,12.39,15.84
"Guam","Specialty Exams Information","Compliance Exams: Total Number of Examinations","2","0","0",43.58,42.79,47.21
"Guam","Specialty Exams Information","Does your department participate in FFIEC examinations of TSPs?","No","No","0",0.64,0.58,0
"Guam","Specialty Exams Information","Has your department implemented the CSBS/FS-ISAC/US Secret Service Corporate Account Takeover (CATO) Best Practices?","No","No","0",0.44,0.42,0
"Guam","Specialty Exams Information","Non-depository Trust: Total Number of Examinations","0","0","0",0,0,4.2
"Guam","Specialty Exams Information","Number of Concurrent IT Examinations -- Total","0","0","0",0.61,1.37,2.35
"Guam","Specialty Exams Information","Number of Joint IT Examinations -- Total","0","0","0",11.91,10.16,11.68
"Guam","Specialty Exams Information","Number of State Only Independent IT Examinations","0","0","0",18.32,18.77,0
"Guam","Specialty Exams Information","Number of State Only Independent IT Examinations -- Total","0","0","0",0,0,18.05
"Guam","Specialty Exams Information","Report Average Turnaround Time in Days","0","0","0",0,0,24.64
"Guam","Specialty Exams Information","Total Number of IT Examinations -- Total","0","0","0",30.53,29.96,31.77
"Guam","Workforce Information","FTE Actually Allocated: BSA Examiners","0","0","0",1.59,0,0
"Guam","Workforce Information","FTE Actually Allocated: Compliance Examiners","0","0","0",1.69,0,0
"Guam","Workforce Information","FTE Actually Allocated: Holding Company Examiners","0","0","0",0.02,0,0
"Guam","Workforce Information","FTE Actually Allocated: IS Examiners","0","0","0",1.41,0,0
"Guam","Workforce Information","FTE Actually Allocated: Other Examiners","0","0","0",4.33,0,0
"Guam","Workforce Information","FTE Actually Allocated: Safety and Soundness Examiners","0","0","0",33.94,0,0
"Guam","Workforce Information","FTE Actually Allocated: Trust Examiners","0","0","0",1.55,0,0
"Guam","Workforce Information","Other Cross-Trained: BSA Examiners","0","0","0",14.73,0,0
"Guam","Workforce Information","Other Cross-Trained: Compliance Examiners","0","0","0",1.1,0,0
"Guam","Workforce Information","Other Cross-Trained: Holding Company Examiners","0","0","0",5.71,0,0
"Guam","Workforce Information","Other Cross-Trained: IS Examiners","0","0","0",4.1,0,0
"Guam","Workforce Information","Other Cross-Trained: Other Examiners","0","0","0",1.57,0,0
"Guam","Workforce Information","Other Cross-Trained: Safety and Soundness Examiners","0","0","0",3.53,0,0
"Guam","Workforce Information","Other Cross-Trained: Trust Examiners","0","0","0",3.37,0,0
"Guam","Turnover Information","Examiner Turnover %","0","0","0",0,11.63,11.62
"Guam","Turnover Information","Reason: Death","0","0","0",0,0.04,0.11
"Guam","Turnover Information","Reason: Other","0","0","0",0,0.27,0.34
"Guam","Turnover Information","Reason: Promotion to Office","0","0","0",0,0.16,0.05
"Guam","Turnover Information","Reason: Resignation to work in a financial institution (bank, holding company, trust company, etc.)","0","0","0",0,0.84,0.89
"Guam","Turnover Information","Reason: Resignation to work in private sector other than a financial institution","0","0","0",0,0.33,0.4
"Guam","Turnover Information","Reason: Resignation to work with Federal Agency","0","0","0",0,0.47,0.65
"Guam","Turnover Information","Reason: Resignation with no reason given","0","0","0",0,0.69,0.42
"Guam","Turnover Information","Reason: Retirement","0","0","0",0,1.45,0.89
"Guam","Turnover Information","Reason: Termination","0","0","0",0,0.33,0.35
"Guam","Turnover Information","Reason: Transfer to work with other State Agency","0","0","0",0,0.16,0.2
"Guam","Turnover Information","Total Number of Examiners","0","17","6",0,49.16,40.96
"Guam","Years of Service","Number of Examiners: Experience 2 to 5 Yrs","0","16","6",0,10.27,6.16
"Guam","Years of Service","Number of Examiners: Experience <2 Yrs","0","0","0",0,10.05,7.05
"Guam","Years of Service","Number of Examiners: Experience > 25 Yrs","0","0","0",0,5.71,5.25
"Guam","Years of Service","Number of Examiners: Experience >15 to 25 Yrs","0","0","0",0,7.64,7.96
"Guam","Years of Service","Number of Examiners: Experience >5 to 15 Yrs","0","1","6",0,15.27,15.39
"Guam","Years of Service","Total Number of Examiners","0","17","6",0,49.16,40.96
"Hawaii","General Agency Information","Credit Card Banks -- Authority to Supervise","Yes","Yes","Yes",0.48,0.48,0.48
"Hawaii","General Agency Information","Credit Card Banks: Number Superviseded","0","0","0",0.16,0,0.16
"Hawaii","General Agency Information","Credit Unions -- Authority to Supervise","Yes","Yes","Yes",0.67,0.67,0.67
"Hawaii","General Agency Information","Credit Unions: Number Superviseded","0","0","0",42.52,0,45.95
"Hawaii","General Agency Information","Does your department currently have a fee sharing agreement with another state?","No","No","No",0.64,0.64,0.55
"Hawaii","General Agency Information","Does your department have a dedicated fund (e.g., a separate and distinct account from the state general fund?)","0","0","0",0,0,0
"Hawaii","General Agency Information","Industrial Loan Corporations -- Number Supervised","1","0","1",3.68,0,4.11
"Hawaii","General Agency Information","Industrial Loan Corporations -- NumberSupervised","0","1","0",0,3.89,0
"Hawaii","General Agency Information","Is any part of your examination staff unionized?","Yes","Yes","Yes",0.38,0.38,0.38
"Hawaii","General Agency Information","Is your department independent, or part of a larger agency?","Part of a Larger Agency","Part of a Larger Agency","Part of a Larger Agency",0.6,0.6,0.59
"Hawaii","General Agency Information","Multi-Bank Holding Companies -- Authority to Supervise","Yes","Yes","Yes",0.57,0.57,0.59
"Hawaii","General Agency Information","One Bank Holding Companies -- Authority to Supervise","Yes","Yes","Yes",0.64,0.64,0.64
"Hawaii","Budget Information","Actual Expenditures","2938167","2587028","2697184",11851967,11071164,9704831
"Hawaii","Budget Information","Amount Allocated to Commercial Bank Supervision","865700","688100","1114700",4837836,5336813,4979506
"Hawaii","Budget Information","Amount Returned to General Fund","0","0","0",83398256,10574719,10546900
"Hawaii","Budget Information","Budgeted Training Expense","50116","50116","51885",159087,165044,154024
"Hawaii","Budget Information","Dedicated Fund","Yes","Yes","0",0.74,0.7,0
"Hawaii","Budget Information","Does your department charge an hourly bank examination fee?","No","No","Yes",0.59,0.56,0.46
"Hawaii","Budget Information","Hourly Fee","0","0","40",0,0,30
"Hawaii","Budget Information","If yes, does this include specialty examinations (e.g., Trust, IT, etc.)? -- Hourly Fee","0","0","40",0,0,49
"Hawaii","Budget Information","Total Budget Approved","3549456","3468323","3384920",12759425,13042590,12791104
"Hawaii","Sources of Funding","Insurance","0.0","0.0","0.0",0.76,0.82,0.82
"Hawaii","Sources of Funding","Insured Depositories Below $10 Billion","5.5","6.43","3.61",39.68,42.14,40.92
"Hawaii","Sources of Funding","Insured Depositories Over $10 Billion","6.0","3.17","3.85",9.76,9.07,10.81
"Hawaii","Sources of Funding","Securities","0.0","0.0","0.0",7.46,8.41,7.04
"Hawaii","Sources of Funding","State-Licensed Mortgage Providers","31.0","32.0","28.35",11.51,11.89,11.4
"Hawaii","Depository Information","Commercial Banks: Number Supervised","4","6","5",80.3,83.54,86.09
"Hawaii","Depository Information","Commercial Banks: Total Assets","40037849000","39706719000","35162587000",78498824339,68136896978,68383944036
"Hawaii","Depository Information","Industrial Loan Corporations: Total Assets","527022000","486548000","482285000",8949669664,8562281943,8645170722
"Hawaii","Depository Information","Non-depository Trust Companies: Number Supervised","0","0","0",7.41,7.22,7.2
"Hawaii","Depository Information","Non-depository Trust Companies: Total Assets","0","0","0",33944527933,50384474720,671011628226
"Hawaii","Depository Information","Savings Banks/Savings and Loans: Number Supervised","1","0","0",9.13,9.16,9.38
"Hawaii","Depository Information","Total Assets (if supervised): Savings Banks","1821138000","0","0",7960427954,7407111029,7158869878
"Hawaii","Application Information","Conversions from Federal Thrift to State Depository Institutions(Approved)","0","0","0",0.13,0.26,0
"Hawaii","Application Information","Conversions from Federal Thrift to State Thrift -- Approved","0","1","0",0.05,0.14,0.12
"Hawaii","Application Information","Conversions from National Bank to State Depository Institutions -- Approved","0","0","0",0.44,0.6,0.61
"Hawaii","Application Information","De Novo Bank Affiliated Trust Companies -- Approved","0","0","0",0.04,0.02,0.04
"Hawaii","Application Information","De Novo Independent Trust Companies -- Approved","0","0","0",0.54,0.23,0.27
"Hawaii","Application Information","De Novo State Bank Charters -- Approved","0","0","0",0.04,0,0.02
"Hawaii","Application Information","State Depository Institution Conversions to Federal Thrift Charters -- Approved","0","0","0",0,0,0
"Hawaii","Application Information","State Depository Institution Conversions to National Bank Charters -- Approved","0","0","0",0.04,0,0.04
"Hawaii","Examination Information","Bank Exams: Number of Concurrent Examinations","0","0","0",0.51,0.51,1.04
"Hawaii","Examination Information","Bank Exams: Number of Joint Examinations with Federal Lead","6","6","9",8.74,9.53,12.39
"Hawaii","Examination Information","Bank Exams: Number of Joint Examinations with State Lead","0","0","2",9.63,8.54,10.18
"Hawaii","Examination Information","Bank Exams: Number of State Only Independent Examinations","0","0","0",24,25.16,25.84
"Hawaii","Examination Information","Holding Company Enforcement Actions (End of the Year)","0","0","0",0.09,0.07,0.13
"Hawaii","Examination Information","Holding Company Enforcement Actions (Start of the Year)","0","0","0",0.13,0.11,0.14
"Hawaii","Examination Information","Holding Company Enforcement Actions Joint with Federal Agency (End of the Year)","0","0","0",1.38,2.04,2.88
"Hawaii","Examination Information","Holding Company Enforcement Actions Joint with Federal Agency (Start of the Year)","0","0","1",1.95,2.86,3.79
"Hawaii","Examination Information","Insured Depositories Enforcement Actions (End of the Year)","0","0","0",1.2,1.14,1.73
"Hawaii","Examination Information","Insured Depositories Enforcement Actions (Start of the Year)","0","0","0",1.43,1.84,2.21
"Hawaii","Examination Information","Insured Depositories Enforcement Actions Joint with Federal Agency (End of the Year)","0","2","3",9.5,13.43,16.5
"Hawaii","Examination Information","Insured Depositories Enforcement Actions Joint with Federal Agency (Start of the Year)","1","3","5",12.75,16.95,22.5
"Hawaii","Examination Information","Number of 4 and 5 rated banks (End of Year)","0","1","1",2.3,4.05,5.66
"Hawaii","Examination Information","Number of 4 and 5 rated banks (Start of Year)","1","1","2",4.09,6.14,8.27
"Hawaii","Examination Information","Number of failed institutions","0","0","0",0.13,0.14,0.3
"Hawaii","Examination Information","Total Number of Examinations -- Total","6","6","11",42.46,43.3,48.98
"Hawaii","Examination Information","Were examination frequency requirements met?","Yes","Yes","Yes",0.92,0.92,0.93
"Hawaii","Report Turnaround Information","Turnaround time (days): Independent Examinations","0","0","0",31.42,29.88,29.88
"Hawaii","Report Turnaround Information","Turnaround time (days): Joint Examinations with FDIC Lead","36","57","57",19.27,27.1,27.1
"Hawaii","Report Turnaround Information","Turnaround time (days): Joint Examinations with Federal Reserve Lead","49","59","59",39.98,38.04,38.04
"Hawaii","Report Turnaround Information","Turnaround time (days): Joint Examinations with State Lead","0","66","66",35.7,44.02,44.02
"Hawaii","Specialty Exams Information","BSA Exams: Number of Concurrent Examinations with the Federal Reserve","0","0","0",0.7,0.75,1.7
"Hawaii","Specialty Exams Information","BSA Exams: Number of Independent Examinations","0","0","0",23.55,27.66,25.89
"Hawaii","Specialty Exams Information","BSA Exams: Number of Joint Examinations with the Federal Reserve","5","6","6",17,17.79,19.57
"Hawaii","Specialty Exams Information","BSA Exams: Total Number of Examinations","5","6","6",40.53,45.39,46.33
"Hawaii","Specialty Exams Information","Bank Holding Companies: Number of Concurrent Examinations with the Federal Reserve","0","0","0",0,0.14,0.46
"Hawaii","Specialty Exams Information","Bank Holding Companies: Number of Independent Examinations","0","0","0",9.96,10.77,12.46
"Hawaii","Specialty Exams Information","Bank Holding Companies: Number of Joint Examinations with the Federal Reserve","5","1","1",1.59,1.7,3.2
"Hawaii","Specialty Exams Information","Bank Holding Companies: Total Number of Examinations","5","1","1",11.35,12.39,15.84
"Hawaii","Specialty Exams Information","Compliance Exams: Total Number of Examinations","0","3","3",43.58,42.79,47.21
"Hawaii","Specialty Exams Information","Does your department participate in FFIEC examinations of TSPs?","No","No","No",0.64,0.58,0.58
"Hawaii","Specialty Exams Information","Has your department implemented the CSBS/FS-ISAC/US Secret Service Corporate Account Takeover (CATO) Best Practices?","No","No","No",0.44,0.42,0.52
"Hawaii","Specialty Exams Information","Non-depository Trust: Total Number of Examinations","0","0","0",0,0,4.2
"Hawaii","Specialty Exams Information","Number of Concurrent IT Examinations -- Total","0","0","0",0.61,1.37,2.35
"Hawaii","Specialty Exams Information","Number of Joint IT Examinations -- Total","5","0","1",11.91,10.16,11.68
