"ORDER__INIT","PROFILE_YEAR__C","SECTION_NAME__C","TOPIC_TITLE__C","QUESTION_NUMBER__C","LABEL_TEXT__C"
341,"2015","Section I","18. Bank IT Examinations",,"Total"
342,"2015","Section I","18. Bank IT Examinations",,"Number of State Only Independent IT Examinations"
343,"2015","Section I","18. Bank IT Examinations",,"Number of Joint IT Examinations"
344,"2015","Section I","18. Bank IT Examinations",,"Number of Concurrent IT Examinations"
345,"2015","Section I","18. Bank IT Examinations",,"Total Number of  IT Examinations"
346,"2015","Section I","18. Bank IT Examinations",49,"Number of Examinations of Technology Service Providers (TSPs) on which your State participated."
347,"2015","Section I","18. Bank IT Examinations",50,"Please provide the number of examiners trained and available to conduct each type of IT examination."
348,"2015","Section I","18. Bank IT Examinations",,"Total IT Examiners"
349,"2015","Section I","18. Bank IT Examinations",,"Non-Complex Institutions - IT Bank Examiners"
350,"2015","Section I","18. Bank IT Examinations",,"Complex (serviced and in-house) Institutions - IT Bank Examiners"
351,"2015","Section I","18. Bank IT Examinations",,"Servicer Examinations - IT Bank Examiners"
352,"2015","Section I","18. Bank IT Examinations",51,"Average Hours Spent on Bank IT Exams"
353,"2015","Section I","18. Bank IT Examinations",,"Allowed"
354,"2015","Section I","18. Bank IT Examinations",,"Average"
355,"2015","Section I","18. Bank IT Examinations",,"In-House Bank"
356,"2015","Section I","18. Bank IT Examinations",,"Serviced Bank"
357,"2015","Section I","18. Bank IT Examinations",52,"Please provide the number of IT examiners with:"
358,"2015","Section I","18. Bank IT Examinations",,"Number of Examiners"
359,"2015","Section I","18. Bank IT Examinations",,"Cyber Forensic Capabilities"
360,"2015","Section I","18. Bank IT Examinations",,"Law Enforcement Investigation Capabilities"
361,"2015","Section I","18. Bank IT Examinations",53,"Does your state have the authority to conduct examinations of TSPs either through required bank contract or statute?"
362,"2015","Section I","18. Bank IT Examinations",,"Citation Code Only"
363,"2015","Section I","18. Bank IT Examinations",54,"Does your department participate in FFIEC examinations of TSPs?"
364,"2015","Section I","18. Bank IT Examinations",,"If no, why not?"
365,"2015","Section I","18. Bank IT Examinations",55,"Does your department have the authority to charge for examinations of TSPs?"
366,"2015","Section I","18. Bank IT Examinations",,"Citation Code Only"
367,"2015","Section I","18. Bank IT Examinations",56,"Does your department bill for examinations of TSPs?"
368,"2015","Section I","18. Bank IT Examinations",,"If yes, do you bill the TSP or the related banks?"
369,"2015","Section I","19. Compliance Examinations of State Chartered Banks",57,"Does your department conduct compliance examinations?"
370,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"If you do not currently conduct compliance examinations, does your department plan to do so in the future?"
371,"2015","Section I","19. Compliance Examinations of State Chartered Banks",58,"What areas are covered in your compliance examinations?"
372,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Residential Mortgage(State)"
373,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Residential Mortgage(Federal)"
374,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Fair Lending"
375,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Consumer Finance (e.g., Credit Cards, consumer Credit)"
376,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Deposits"
377,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Other  Please specify:"
378,"2015","Section I","19. Compliance Examinations of State Chartered Banks",59,"Please provide the number of full time equivalent (FTE) employees devoted to compliance."
379,"2015","Section I","19. Compliance Examinations of State Chartered Banks",60,"Please complete the following table based on your compliance examinations during CY 2015:"
380,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Total"
381,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Number (of total) of Exit Interview Only or Very Limited On-Site Presence"
382,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Independent Examinations"
383,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Joint Examinations with the FDIC"
384,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Joint Examinations with the Federal Reserve"
385,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Joint Examinations with the CFPB"
386,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Concurrent Examinations with the FDIC"
387,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Concurrent Examinations with the Federal Reserve"
388,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Concurrent Examinations with the CFPB"
389,"2015","Section I","19. Compliance Examinations of State Chartered Banks",,"Total Examinations"
390,"2015","Section I","19. Compliance Examinations of State Chartered Banks",61,"What type of training is currently available to your compliance examiners (Federal, Internal, etc)?"
391,"2015","Section I","19. Compliance Examinations of State Chartered Banks",62,"Are your examiners receiving sufficient compliance training to meet their needs?"
392,"2015","Section I","20. Examinations of Non-depository Trust Companies",63,"Does your department conduct examinations of non-depository trust companies?"
393,"2015","Section I","20. Examinations of Non-depository Trust Companies",,"Citation Code Only"
394,"2015","Section I","20. Examinations of Non-depository Trust Companies",,"64) Examinations of Non-depository Trust Companies"
395,"2015","Section I","20. Examinations of Non-depository Trust Companies",,"Number of Examinations Performed in 2015"
396,"2015","Section I","20. Examinations of Non-depository Trust Companies",,"Report Average Turnaround Time in Days"
397,"2015","Section I","20. Examinations of Non-depository Trust Companies",65,"What is your agency’s Minimum capital requirement for a Non-depository Trust Company?"
398,"2015","Section I","20. Examinations of Non-depository Trust Companies",,"Citation Code Only"
399,"2015","Section I","20. Examinations of Non-depository Trust Companies",66,"What kind of bond(s) does your agency require in order to conduct business? Please note (e.g., Surety, Directors and Officers, etc.)"
400,"2015","Section I","20. Examinations of Non-depository Trust Companies",67,"Does your agency require the Non-depository Trust Company to pledge assets in order to conduct business?"
401,"2015","Section I","20. Examinations of Non-depository Trust Companies",,"If yes, in what amount?"
402,"2015","Section I","20. Examinations of Non-depository Trust Companies",68,"Does your state have a statute related to Non-depository Trust Companies? If so, please cite."
403,"2015","Section I","20. Examinations of Non-depository Trust Companies",,"Statute"
404,"2015","Section I","20. Examinations of Non-depository Trust Companies",69,"Does your agency have a data collection or reporting requirement for Non-depository Trust Companies (e.g., call report, quarterly filings, end of year report)?"
405,"2015","Section I","20. Examinations of Non-depository Trust Companies",,"If yes, is the report public?"
406,"2015","Section I","20. Examinations of Non-depository Trust Companies",,"Is your agency able to share these reports with other regulators?"
407,"2015","Section I","20. Examinations of Non-depository Trust Companies",,"If no, please explain"
408,"2015","Section I","21. Supervisory Information",70,"Is your department subject to state open records or freedom of information laws that require you to publicly furnish supervisory information on financial institutions that you supervise?"
409,"2015","Section I","21. Supervisory Information",,"Citation Code Only"
410,"2015","Section I","21. Supervisory Information",,"Are there exemptions to your open records or  freedom of information laws for supervisory information on depository institutions?"
411,"2015","Section I","21. Supervisory Information",,"Citation Code Only"
412,"2015","Section I","21. Supervisory Information",,"Are there exemptions to your open records or freedom of information laws for supervisory information on depository institutions shared with your department by other state or federal regulatory authorities?"
413,"2015","Section I","21. Supervisory Information",,"Citation Code Only"
414,"2015","Section I","21. Supervisory Information",,"Are there exemptions to your open records or freedom of information laws for supervisory information on non-depository institutions?"
415,"2015","Section I","21. Supervisory Information",,"Citation Code Only"
416,"2015","Section I","21. Supervisory Information",,"Are there exemptions to your open records or freedom of information laws for supervisory information on non-depository institutions shared with your department by other state or federal regulatory authorities?"
417,"2015","Section I","21. Supervisory Information",,"Citation Code Only"
418,"2015","Section I","21. Supervisory Information",71,"Is confidential supervisory information specifically defined in your state?"
419,"2015","Section I","21. Supervisory Information",,"If yes, please provide citation code only."
420,"2015","Section I","21. Supervisory Information",,"If no, how do you determine which information is confidential?"
421,"2015","Section I","22. Interstate Branching",72,"Has your state enacted an interstate branching law?"
422,"2015","Section I","22. Interstate Branching",,"Citation Code Only"
423,"2015","Section I","22. Interstate Branching",,"Effective Date (mm/dd/yyyy)"
424,"2015","Section I","22. Interstate Branching",,"If yes, has your state updated its interstate branching law?"
425,"2015","Section I","22. Interstate Branching",,"Citation Code Only"
426,"2015","Section I","22. Interstate Branching",,"Effective Date (mm/dd/yyyy)"
427,"2015","Section I","22. Interstate Branching",73,"Does your state restrict the placement of a branch in commercially owned affiliates?"
428,"2015","Section I","22. Interstate Branching",,"If yes, what types of institutions does the restriction apply to?"
429,"2015","Section I","22. Interstate Branching",74,"Does your state have a minimum age-of-acquisition requirement that out-of-state banks must follow?"
430,"2015","Section I","22. Interstate Branching",,"Minimum Age (In Years)"
431,"2015","Section I","22. Interstate Branching",,"Citation Code Only"
432,"2015","Section I","22. Interstate Branching",75,"After the passage of Dodd Frank and its sections permitting nationwide de novo interstate branching, are there any branching laws in your state that you believe continue to apply to an out-of-state bank trying to branch de novo into your state."
433,"2015","Section I","22. Interstate Branching",,"(Dodd Frank made no changes to laws regarding INTRAstate branching such as, disclosure requirements.)"
434,"2015","Section I","22. Interstate Branching",,"Citation Code Only"
435,"2015","Section I","22. Interstate Branching",76,"Does the State/Agency allow interstate branching through acquisition of single branches or other portions of an institution?"
436,"2015","Section I","22. Interstate Branching",,"Citation Code Only"
437,"2015","Section I","22. Interstate Branching",77,"Does the State/Agency impose a statewide deposit cap on branch acquisitions?"
438,"2015","Section I","22. Interstate Branching",,"Deposit Cap (%)"
439,"2015","Section I","22. Interstate Branching",,"Citation Code Only"
440,"2015","Section I","23. Corporate Account Takeover (CATO)",,"Corporate Account Takeover (CATO)"
441,"2015","Section I","23. Corporate Account Takeover (CATO)",78,"Has your department implemented the CSBS/FS-ISAC/US Secret Service Corporate Account Takeover (CATO) Best Practices?"
442,"2015","Section I","23. Corporate Account Takeover (CATO)",,"Issued Supervisory Guidance to all banks"
443,"2015","Section I","23. Corporate Account Takeover (CATO)",,"Shared Information (documents and CSBS website) with banks"
444,"2015","Section I","23. Corporate Account Takeover (CATO)",,"Adopted CATO work program"
445,"2015","Section I","23. Corporate Account Takeover (CATO)",,"Adopted Officer’s Questionnaire"
446,"2015","Section I","23. Corporate Account Takeover (CATO)",,"Other"
447,"2015","Section I","23. Corporate Account Takeover (CATO)",,"If No, why have you not implemented CATO best practices?"

 447 rows selected 

